athlete_id,given_name,nickname,surname,suffix,athlete_gender
1,Alfred,,Hajos,,Male
2,Otto,,Herschmann,,Male
3,Dimitrios,,Drivas,,Male
4,Ioannis,,Malokinis,,Male
5,Spiridon,,Chasapis,,Male
6,Efstathios,,Chorophas,,Male
7,Joannis,,Andreou,,Male
8,Paul,,Neumann,,Male
9,Antonios,,Pepanos,,Male
10,Francis,,Lane,,Male
11,Alajos,,Szokolyi,,Male
12,Thomas,,Burke,,Male
13,Fritz,,Hofmann,,Male
14,Thomas,,Curtis,,Male
15,Grantley,,Goulding,,Male
16,Albin,,Lermusiaux,,Male
17,Edwin,,Flack,,Male
18,Arthur,,Blake,,Male
19,Charles,,Gmelin,,Male
20,Herbert,,Jamison,,Male
21,Dimitrios,,Golemis,,Male
22,Nandor,,Dani,,Male
23,Sotirios,,Versis,,Male
24,Robert,,Garrett,,Male
25,Panagiotis,,Paraskevopoulos,,Male
26,Ellery,,Clark,,Male
27,James,,Connolly,,Male
28,Gyula,,Kellner,,Male
29,Spyridon,,Louis,,Male
30,Kharilaos,,Vasilakos,,Male
31,Evangelos,,Damaskos,,Male
32,Ioannis,,Theodoropoulos,,Male
33,William Welles,,Hoyt,,Male
34,Albert,,Tyler,,Male
35,Georgios,,Papasideris,,Male
36,Miltiadis,,Gouskos,,Male
37,Ioannis,,Persakis,,Male
38,Alexandre,,Tufferi,,Male
39,Edward,,Battel,,Male
40,Aristidis,,Konstantinidis,,Male
41,August,,Goedrich,,Male
42,Leon,,Flameng,,Male
43,Georgios,,Kolettis,,Male
44,Adolf,,Schmal,,Male
45,Paul,,Masson,,Male
46,Frank,,Keeping,,Male
47,Stamatios,,Nikolopoulos,,Male
48,Perikles,,Pierrakos-Mavromichalis,,Male
49,Eugene-Henri,,Gravelotte,,Male
50,Henri,,Callot,,Male
51,Leonidas,,Pyrgos,,Male
52,Maurice,,Perronnet,,Male
53,Holger,,Nielsen,,Male
54,Ioannis,,Georgiadis,,Male
55,Telemachos,,Karakalos,,Male
56,Hermann,,Weingartner,,Male
57,Alfred,,Flatow,,Male
58,Louis,,Zutter,,Male
59,Petros,,Persakis,,Male
60,Ioannis,,Mitropoulos,,Male
61,Nicolaos,,Andriakopoulos,,Male
62,Thomasios,,Xenakis,,Male
63,Konrad,,Bocker,,Male
64,Gustav Felix,,Flatow,,Male
65,Georg,,Hilmar,,Male
66,Fritz,,Manteuffel,,Male
67,Karl,,Neukirch,,Male
68,Richard,,Rostel,,Male
69,Gustav,,Schuft,,Male
70,Carl,,Schumann,,Male
71,Ioannis,,Chrysaphis,,Male
72,Phillippos,,Karvelas,,Male
73,Dimitrios,,Loundras,,Male
74,Spyros,,Athanasopoulos,,Male
75,Nikolaos,,Morakis,,Male
76,John,,Paine,,Male
77,Sumner,,Paine,,Male
78,Joannis,,Phrangoudis,,Male
79,Georgios,,Orphanidis,,Male
80,Nicolaos,,Trikupis,,Male
81,Pantelis,,Karasevdas,,Male
82,Pavlos,,Pavlidis,,Male
83,Viggo,,Jensen,,Male
84,George Stuart,,Robertson,,Male
85,John,,Boland,,Male
86,Friedrich,,Traun,,Male
87,Dionysios,,Kasdaglis,,Male
88,Demetrios,,Petrokokkinos,,Male
89,Konstantinos,,Paspatis,,Male
90,Momcsillo,,Tapavicza,,Male
91,Alexandros,,Nikolopoulos,,Male
92,Launceston,,Elliott,,Male
93,Stephanos,,Christopoulos,,Male
94,Georgios,,Tsitas,,Male
95,Zoltan,,Halmay,,Male
96,John Arthur,,Jarvis,,Male
97,Otto,,Wahle,,Male
98,Johannes,,Drost,,Male
99,Ernst,,Hoppenberg,,Male
100,Karl,,Ruberl,,Male
101,Frederick C.V.,,Lane,,Male
