result_id,olympics_id,sport_id,athlete_id,country_id,medal
1,1,1,1,1,Gold
2,1,1,2,2,Silver
3,1,2,3,3,Bronze
4,1,2,4,3,Gold
5,1,2,5,3,Silver
6,1,3,6,3,Bronze
7,1,3,1,1,Gold
8,1,3,7,3,Silver
9,1,4,6,3,Bronze
10,1,4,8,2,Gold
11,1,4,9,3,Silver
12,1,5,10,4,Bronze
13,1,5,11,1,Bronze
14,1,5,12,4,Gold
15,1,5,13,5,Silver
16,1,6,14,4,Gold
17,1,6,15,6,Silver
18,1,7,16,7,Bronze
19,1,7,17,8,Gold
20,1,7,18,4,Silver
21,1,8,19,6,Bronze
22,1,8,12,4,Gold
23,1,8,20,4,Silver
24,1,9,21,3,Bronze
25,1,9,17,8,Gold
26,1,9,22,1,Silver
27,1,10,23,3,Bronze
28,1,10,24,4,Gold
29,1,10,25,3,Silver
30,1,11,26,4,Gold
31,1,11,27,4,Silver
32,1,11,24,4,Silver
33,1,12,27,4,Bronze
34,1,12,26,4,Gold
35,1,12,24,4,Silver
36,1,13,28,1,Bronze
37,1,13,29,3,Gold
38,1,13,30,3,Silver
39,1,14,31,3,Bronze
40,1,14,32,3,Bronze
41,1,14,33,4,Gold
42,1,14,34,4,Silver
43,1,15,35,3,Bronze
44,1,15,24,4,Gold
45,1,15,36,3,Silver
46,1,16,37,3,Bronze
47,1,16,27,4,Gold
48,1,16,38,7,Silver
49,1,17,39,6,Bronze
50,1,17,40,3,Gold
51,1,17,41,5,Silver
52,1,18,42,7,Gold
53,1,18,43,3,Silver
54,1,19,44,2,Bronze
55,1,19,45,7,Gold
56,1,19,42,7,Silver
57,1,20,44,2,Gold
58,1,20,46,6,Silver
59,1,21,44,2,Bronze
60,1,21,45,7,Gold
61,1,21,47,3,Silver
62,1,22,42,7,Bronze
63,1,22,45,7,Gold
64,1,22,47,3,Silver
65,1,23,48,3,Bronze
66,1,23,49,7,Gold
67,1,23,50,7,Silver
68,1,24,51,3,Gold
69,1,24,52,7,Silver
70,1,25,53,9,Bronze
71,1,25,54,3,Gold
72,1,25,55,3,Silver
73,1,26,56,5,Gold
74,1,26,57,5,Silver
75,1,27,57,5,Gold
