sport_id,sport,discipline,event,event_gender
1,Aquatics,Swimming,100M Freestyle,Men
2,Aquatics,Swimming,100M Freestyle For Sailors,Men
3,Aquatics,Swimming,1200M Freestyle,Men
4,Aquatics,Swimming,400M Freestyle,Men
5,Athletics,Athletics,100M,Men
6,Athletics,Athletics,110M Hurdles,Men
7,Athletics,Athletics,1500M,Men
8,Athletics,Athletics,400M,Men
9,Athletics,Athletics,800M,Men
10,Athletics,Athletics,Discus Throw,Men
11,Athletics,Athletics,High Jump,Men
12,Athletics,Athletics,Long Jump,Men
13,Athletics,Athletics,Marathon,Men
14,Athletics,Athletics,Pole Vault,Men
15,Athletics,Athletics,Shot Put,Men
16,Athletics,Athletics,Triple Jump,Men
17,Cycling,Cycling Road,Individual Road Race,Men
18,Cycling,Cycling Track,100Km,Men
19,Cycling,Cycling Track,10Km,Men
20,Cycling,Cycling Track,12-Hour Race,Men
21,Cycling,Cycling Track,1Km Time Trial,Men
22,Cycling,Cycling Track,Sprint Indivual,Men
23,Fencing,Fencing,Foil Individual,Men
24,Fencing,Fencing,"Foil, Masters",Men
25,Fencing,Fencing,Sabre Individual,Men
26,Gymnastics,Artistic Gymnastics,Horizontal Bar,Men
27,Gymnastics,Artistic Gymnastics,Parallel Bars,Men
28,Gymnastics,Artistic Gymnastics,Pommel Horse,Men
29,Gymnastics,Artistic Gymnastics,Rings,Men
30,Gymnastics,Artistic Gymnastics,Rope Climbing,Men
31,Gymnastics,Artistic Gymnastics,"Team, Horizontal Bar",Men
32,Gymnastics,Artistic Gymnastics,"Team, Parallel Bars",Men
33,Gymnastics,Artistic Gymnastics,Vault,Men
34,Shooting,Shooting,25M Army Pistol,Men
35,Shooting,Shooting,25M Rapid Fire Pistol (60 Shots),Men
36,Shooting,Shooting,50M Pistol (60 Shots),Men
37,Shooting,Shooting,"Army Rifle, 200M",Men
38,Shooting,Shooting,"Army Rifle, 300M",Men
39,Tennis,Tennis,Doubles,Men
40,Tennis,Tennis,Singles,Men
41,Weightlifting,Weightlifting,Heavyweight - One Hand Lift,Men
42,Weightlifting,Weightlifting,Heavyweight - Two Hand Lift,Men
43,Wrestling,Wrestling Gre-R,Open Event,Men
44,Aquatics,Swimming,1500M Freestyle,Men
45,Aquatics,Swimming,200M Backstroke,Men
46,Aquatics,Swimming,200M Freestyle,Men
47,Aquatics,Swimming,200M Obstacle Event,Men
48,Aquatics,Swimming,200M Team Swimming,Men
49,Aquatics,Swimming,4000M Freestyle,Men
50,Aquatics,Swimming,Underwater Swimming,Men
51,Aquatics,Water Polo,Water Polo,Men
52,Archery,Archery,"Au Chapelet, 33M",Men
53,Archery,Archery,"Au Chapelet, 50M",Men
54,Archery,Archery,"Au Cordon Dore, 33M",Men
55,Archery,Archery,"Au Cordon Dore, 50M",Men
56,Archery,Archery,Sur La Perche A La Herse,Men
57,Archery,Archery,Sur La Perche A La Pyramide,Men
58,Athletics,Athletics,200M,Men
59,Athletics,Athletics,200M Hurdles,Men
60,Athletics,Athletics,3000M Steeplechase,Men
61,Athletics,Athletics,4000M Steeplechase,Men
62,Athletics,Athletics,400M Hurdles,Men
63,Athletics,Athletics,5000M Team,Men
64,Athletics,Athletics,60M,Men
65,Athletics,Athletics,Hammer Throw,Men
66,Athletics,Athletics,"High Jump, Standing",Men
67,Athletics,Athletics,"Long Jump, Standing",Men
68,Athletics,Athletics,"Triple Jump, Standing",Men
69,Basque Pelota,Basque Pelota,Cesta Punta,Men
70,Cricket,Cricket,Cricket,Men
71,Croquet,Croquet,Double,Men
72,Croquet,Croquet,Individual 1 Ball,Men
73,Croquet,Croquet,Individual 2 Balls,Men
74,Cycling,Cycling Track,25 Kilometres,Men
75,Equestrian,Jumping,High Jump,Mixed
76,Equestrian,Jumping,Individual,Mixed
77,Equestrian,Jumping,Long Jump Individual,Mixed
78,Fencing,Fencing,Epee Individual,Men
79,Fencing,Fencing,"Epee, Amateurs And Masters",Men
80,Fencing,Fencing,"Epee, Masters",Men
81,Fencing,Fencing,"Sabre, Masters",Men
82,Football,Football,Football,Men
83,Golf,Golf,Individual,Men
84,Golf,Golf,Individual,Women
85,Gymnastics,Artistic Gymnastics,Individual All-Round,Men
86,Polo,Polo,Polo,Men
87,Rowing,Rowing,Eight With Coxswain (8+),Men
88,Rowing,Rowing,Four-Oared Shell With Coxswain (4-),Men
89,Rowing,Rowing,Pair-Oared Shell With Coxswain (2+),Men
90,Rowing,Rowing,Single Sculls (1X),Men
91,Rugby,Rugby,Rugby,Men
92,Sailing,Sailing,0.5-1T,Mixed
93,Sailing,Sailing,10-20T,Mixed
94,Sailing,Sailing,3-10T,Mixed
95,Sailing,Sailing,Open Class,Mixed
96,Shooting,Shooting,"50M Army Pistol, Team",Men
97,Shooting,Shooting,"Army Rifle, 300M, 3 Positions",Men
98,Shooting,Shooting,"Army Rifle, 300M, Kneeling",Men
99,Shooting,Shooting,"Army Rifle, 300M, Prone",Men
100,Shooting,Shooting,"Army Rifle, 300M, Standing",Men
101,Shooting,Shooting,"Free Rifle, Team",Men
